CustomerId,Surname,Geography,Gender,Age,Tenure,ActiveEmployee,Salary,Left
15634602,Hargrave,France,Female,42,2,1,101348.88,1
15647311,Hill,Spain,Female,41,1,1,112542.58,0
15619304,Onio,France,Female,42,8,0,113931.57,1
15701354,Boni,France,Female,39,1,0,93826.63,0
15737888,Mitchell,Spain,Female,43,2,1,79084.1,0
15574012,Chu,Spain,Male,44,8,0,149756.71,1
15592531,Bartlett,France,Male,50,7,1,10062.8,0
15656148,Obinna,Germany,Female,29,4,0,119346.88,1
15792365,He,France,Male,44,4,1,74940.5,0
15592389,H?,France,Male,27,2,1,71725.73,0
15767821,Bearce,France,Male,31,6,0,80181.12,0
15737173,Andrews,Spain,Male,24,3,0,76390.01,0
15632264,Kay,France,Female,34,10,0,26260.98,0
15691483,Chin,France,Female,25,5,0,190857.79,0
15600882,Scott,Spain,Female,35,7,1,65951.65,0
15643966,Goforth,Germany,Male,45,3,1,64327.26,0
15737452,Romeo,Germany,Male,58,1,0,5097.67,1
15788218,Henderson,Spain,Female,24,9,1,14406.41,0
15661507,Muldrow,Spain,Male,45,6,0,158684.81,0
15568982,Hao,France,Female,24,6,1,54724.03,0
15577657,McDonald,France,Male,41,8,1,170886.17,0
15597945,Dellucci,Spain,Female,32,8,0,138555.46,0
15699309,Gerasimov,Spain,Female,38,4,0,118913.53,1
15725737,Mosman,France,Male,46,3,1,8487.75,0
15625047,Yen,France,Female,38,5,1,187616.16,0
15738191,Maclean,France,Male,25,3,1,124508.29,0
15736816,Young,Germany,Male,36,2,1,170041.95,0
15700772,Nebechi,France,Male,44,9,0,38433.35,0
15728693,McWilliams,Germany,Female,43,3,1,100187.43,0
15656300,Lucciano,France,Male,29,0,1,53483.21,0
15589475,Azikiwe,Spain,Female,39,3,0,140469.38,1
15706552,Odinakachukwu,France,Male,36,7,1,156731.91,0
15750181,Sanderson,Germany,Male,41,9,0,81898.81,0
15659428,Maggard,Spain,Female,42,6,1,34410.55,0
15732963,Clements,Spain,Female,29,9,1,142033.07,0
15794171,Lombardo,France,Female,45,0,0,27822.99,1
15788448,Watson,Spain,Male,31,3,1,114066.77,0
15729599,Lorenzo,Spain,Male,33,7,1,98453.45,0
15717426,Armstrong,France,Male,36,7,1,40812.9,0
15585768,Cameron,Germany,Male,41,6,1,178074.04,0
15619360,Hsiao,Spain,Male,40,4,0,70154.22,0
15738148,Clarke,France,Female,51,8,0,181297.65,1
15687946,Osborne,France,Female,61,2,1,94153.83,0
